Season,Player,Team,RAPM,O-RAPM,D-RAPM
2023,Julia Logana,Oswego St Lakers,-1.1953289210409714,-0.6701010955875706,-0.5252278254534007
2023,Logan Castiglione,Oswego St Lakers,-1.1953528826213986,-0.6701105086718985,-0.5252423739495001
2023,Karleigh Leo,Oswego St Lakers,-1.1957085497332045,-0.6702977773589819,-0.5254107723742227
2023,Jenny Peake,Central Arkansas Bears,-1.1962167187399513,-0.07076382571341086,-1.1254528930265404
2023,Miranda Salazar,Northern New Mexico Eagles,-1.196647652916083,-0.4113241090559521,-0.7853235438601308
2023,Traya Bruce,Nicholls Colonels,-1.196891166852611,-0.5616892390168791,-0.6352019278357319
2023,Alisa Davenport,Converse College Valkyries,-1.197523354684966,-0.7268312555247771,-0.4706920991601888
2023,Amaia Parkins,Converse College Valkyries,-1.1975428611697136,-0.726844491308056,-0.47069836986165775
2023,Daven West,Converse College Valkyries,-1.1976134010310295,-0.7268709759950551,-0.47074242503597447
2023,Maria Benitez-Zayas,Palm Beach Atlantic University Sailfish,-1.1984988157688008,-0.711077277781192,-0.48742153798760873
2023,Alma Danielsson,Palm Beach Atlantic University Sailfish,-1.1986853461376048,-0.7112435394825481,-0.4874418066550566
2023,Lalli Gurrola,Whittier Poets,-1.2010686343090127,-0.3819340446185245,-0.8191345896904882
2023,Rhe Nae Leach,Whittier Poets,-1.2011133447882731,-0.38195944657764097,-0.8191538982106321
2023,Lainie James,Whittier Poets,-1.201158268157824,-0.38198493686796964,-0.8191733312898543
2023,Bella Robles,Whittier Poets,-1.2012924463939598,-0.38205087868825094,-0.8192415677057089
2023,Lizzie Scriven,Whittier Poets,-1.2013394786240459,-0.382076856849263,-0.8192626217747828
2023,Haley Sabol,Yale Bulldogs,-1.2025769265181303,0.014374985517614585,-1.2169519120357448
2023,Kaitlyn Moeller,Tiffin Dragons,-1.203496095730823,-0.715582970232936,-0.48791312549788696
2023,Pistol Brinson,Tiffin Dragons,-1.203535603672076,-0.7156145313358567,-0.48792107233621906
2023,Savanah Richards,Tiffin Dragons,-1.2036953741579266,-0.715660213064451,-0.4880351610934755
2023,Jada Tate,Tiffin Dragons,-1.20373476100834,-0.715690504892135,-0.4880442561162049
2023,Kirsten Williams,Tiffin Dragons,-1.2037749481362603,-0.7157213825545492,-0.48805356558171104
2023,Rachel Perkins,Central Christian College Tigers,-1.2041172566465401,-0.6911109035902139,-0.5130063530563261
2023,Hallee Winsea,Central Christian College Tigers,-1.2041517934214903,-0.6911323813959859,-0.5130194120255045
2023,Mattie Rich,Central Christian College Tigers,-1.2041874890645925,-0.6911544211752405,-0.5130330678893519
2023,Makia Lovelace,Central Christian College Tigers,-1.2042243384416225,-0.691177012833729,-0.5130473256078935
2023,Olivia Bell,Central Christian College Tigers,-1.2042623341833467,-0.6912001448777635,-0.5130621893055831
2023,Kyla Allison,Western Carolina Catamounts,-1.2055563802941043,-0.6944307909419309,-0.5111255893521733
2023,Sisi Eleko,Canisius Golden Griffins,-1.2167910276808087,-0.6240388378999285,-0.5927521897808802
2023,Aubrie Kierscht,Presbyterian Blue Hose,-1.2184771340094678,-0.47625109691059203,-0.7422260370988757
2023,Jazmyne Jenkins,Park University Gilbert Buccaneers,-1.2199010352796054,-0.497835265224719,-0.7220657700548864
2023,Kayla Schroeder,Park University Gilbert Buccaneers,-1.2200599279686668,-0.497929246122241,-0.7221306818464257
2023,Madison Chappell,Park University Gilbert Buccaneers,-1.220060152760721,-0.49793486633576733,-0.7221252864249538
2023,Macy Markus,Park University Gilbert Buccaneers,-1.2204803454947524,-0.49814983980787625,-0.7223305056868761
2023,Daja Claiborne,Wilmington (DE) Wildcats,-1.2218439618551482,-0.7121584864414506,-0.5096854754136976
2023,Amber Washington,Wilmington (DE) Wildcats,-1.2219424962521266,-0.7122213286506305,-0.5097211676014961
2023,Trinity Brittingham,Wilmington (DE) Wildcats,-1.2223849681530257,-0.7124388590499215,-0.5099461091031042
2023,Fatou Ndao,Wilmington (DE) Wildcats,-1.2223923594924482,-0.7124459586713523,-0.5099464008210959
2023,Amaya Vasquez,University of the Southwest Mustangs,-1.2256379315105788,-0.7404681752313562,-0.4851697562792225
2023,Tiayana Williams,University of the Southwest Mustangs,-1.2256853724496806,-0.740493920199741,-0.4851914522499395
2023,Abigail Olivas,University of the Southwest Mustangs,-1.2257326179124113,-0.7405195419177286,-0.48521307599468266
2023,Nayleemar Montalvo,Fisher College Falcons,-1.2281201673893787,-0.7349413385341345,-0.4931788288552443
2023,Jada Braggs,Fisher College Falcons,-1.228130410412867,-0.7349434754493286,-0.49318693496353844
2023,Madison Kelley,Fisher College Falcons,-1.2281415928723582,-0.7349461594255035,-0.49319543344685485
2023,Naomi Mares,Fisher College Falcons,-1.2281536588391493,-0.7349493626462162,-0.49320429619293304
2023,Angela Steingrimsdot,Fisher College Falcons,-1.2281665533899717,-0.7349530577032526,-0.49321349568671913
2023,Emily Benzschawel,Lindenwood Lions,-1.2306523350602319,-0.6997412735688102,-0.5309110614914216
2023,Reese Ericson,Army Black Knights,-1.2325022024193477,-0.7074521733605837,-0.5250500290587641
2023,Faith Silva,W. Virginia Tech Golden Bears,-1.2382795814759417,-0.31099145268758255,-0.9272881287883592
2023,Alyssa Taylor,W. Virginia Tech Golden Bears,-1.2383151770373255,-0.31101304932715235,-0.9273021277101732
2023,Valiyah Yazzie,W. Virginia Tech Golden Bears,-1.238353011383728,-0.31103579049963676,-0.9273172208840913
2023,Alva Hedrich,W. Virginia Tech Golden Bears,-1.2383930945445032,-0.3110596762847881,-0.927333418259715
2023,Ca'Vashia Johnson,W. Virginia Tech Golden Bears,-1.238458969224922,-0.3110852959210503,-0.9273736733038717
2023,Hadley Periman,Tulsa Golden Hurricane,-1.2432756570588757,-0.31578330900908386,-0.9274923480497919
2023,Katie Starr,Bloomsburg University Huskies,-1.2499866512108766,-0.35890981526423715,-0.8910768359466393
2023,Abby Brown,Bloomsburg University Huskies,-1.2500146938287857,-0.3589365196350137,-0.8910781741937721
2023,Megan Fisher,Bloomsburg University Huskies,-1.250571372958094,-0.359200931356567,-0.8913704416015271
2023,Emma Gochnauer,Bloomsburg University Huskies,-1.2505949487460546,-0.35922092974389436,-0.8913740190021602
2023,Emma Koch,Dartmouth Big Green,-1.2546757298383562,-0.6026369697791064,-0.6520387600592497
2023,Lindsay Llewellyn,Navy Midshipmen,-1.2618488252390672,-0.09388058512152946,-1.1679682401175377
2023,Layla Laws,St. Francis (PA) Red Flash,-1.262004265760009,-0.949860578327235,-0.31214368743277404
2023,Mikayla Kinnard,SIU Edwardsville Cougars,-1.266772894995372,-0.27056886033810357,-0.9962040346572684
2023,Micah Gray,Texas Southern Tigers,-1.2680584356138291,-0.9130800255809917,-0.3549784100328374
